,GameID,EnteredDateTimeUTC,EnteredDateTimeET,AwayTeam,HomeTeam,DoubleHeaderGame,AwayStartingPitcher,HomeStartingPicher,FinalScoreAway,FinalScoreHome
497,WAS201605110,2016-05-10 11:46,2016-05-10 7:46,Detroit Tigers,Washington Nationals,0,j zimmermann,M SCHERZER,2,3
498,NYA201605110,2016-05-10 11:46,2016-05-10 7:46,Kansas City Royals,New York Yankees,0,y ventura,M PINEDA,7,3
499,MIA201605110,2016-05-10 11:37,2016-05-10 7:37,Milwaukee Brewers,Miami Marlins,0,c anderson,W CHEN,2,3
500,BOS201605110,2016-05-10 17:26,2016-05-10 13:26,Oakland Athletics,Boston Red Sox,0,e surkamp,R PORCELLO,3,13
501,ATL201605110,2016-05-10 11:38,2016-05-10 7:38,Philadelphia Phillies,Atlanta Braves,0,j eickhoff,J CHACIN,1,5
502,CIN201605110,2016-05-11 7:13,2016-05-11 3:13,Pittsburgh Pirates,Cincinnati Reds,0,j nicasio,A SIMON,5,4
503,CHN201605112,2016-05-10 11:40,2016-05-10 7:40,San Diego Padres,Chicago Cubs,2,d pomeranz,J LACKEY,1,0
504,ANA201605110,2016-05-10 17:26,2016-05-10 13:26,St. Louis Cardinals,Los Angeles Angels of Anaheim,0,j garcia,M SHOEMAKER,5,2
505,LAN201605110,2016-05-10 11:41,2016-05-10 7:41,New York Mets,Los Angeles Dodgers,0,n syndergaard,K MAEDA,4,3
506,BAL201605120,2016-05-11 11:52,2016-05-11 7:52,Detroit Tigers,Baltimore Orioles,0,m pelfrey,U JIMENEZ,5,7
507,NYA201605120,2016-05-11 11:52,2016-05-11 7:52,Kansas City Royals,New York Yankees,0,i kennedy,N EOVALDI,3,7
508,BOS201605120,2016-05-11 11:52,2016-05-11 7:52,Houston Astros,Boston Red Sox,0,d keuchel,D PRICE,1,11
509,ATL201605120,2016-05-11 11:51,2016-05-11 7:51,Philadelphia Phillies,Atlanta Braves,0,v velasquez,A BLAIR,7,4
510,MIL201605120,2016-05-11 11:52,2016-05-11 7:52,San Diego Padres,Milwaukee Brewers,0,j shields,J NELSON,3,0
511,ARI201605120,2016-05-11 11:52,2016-05-11 7:52,San Francisco Giants,Arizona Diamondbacks,0,j cueto,Z GREINKE,4,2
512,ANA201605120,2016-05-11 11:52,2016-05-11 7:52,St. Louis Cardinals,Los Angeles Angels of Anaheim,0,a wainwright,J WEAVER,12,10
513,LAN201605120,2016-05-11 11:52,2016-05-11 7:52,New York Mets,Los Angeles Dodgers,0,b colon,C KERSHAW,0,5
514,CHN201605130,2016-05-12 12:16,2016-05-12 8:16,Pittsburgh Pirates,Chicago Cubs,0,f liriano,J HAMMEL,4,9
515,NYA201605130,2016-05-12 12:16,2016-05-12 8:16,Chicago White Sox,New York Yankees,0,c sale,L SEVERINO,7,1
516,PHI201605130,2016-05-12 12:16,2016-05-12 8:16,Cincinnati Reds,Philadelphia Phillies,0,b finnegan,J HELLICKSON,2,3
517,BAL201605130,2016-05-12 12:16,2016-05-12 8:16,Detroit Tigers,Baltimore Orioles,0,j verlander,C TILLMAN,0,1
518,WAS201605130,2016-05-12 12:16,2016-05-12 8:16,Miami Marlins,Washington Nationals,0,t koehler,G GONZALEZ,3,5
519,BOS201605130,2016-05-12 12:16,2016-05-12 8:16,Houston Astros,Boston Red Sox,0,l mccullers,S WRIGHT,7,6
520,CLE201605130,2016-05-12 12:16,2016-05-12 8:16,Minnesota Twins,Cleveland Indians,0,r nolasco,J TOMLIN,6,7
521,TBA201605130,2016-05-12 12:16,2016-05-12 8:16,Oakland Athletics,Tampa Bay Rays,0,r hill,J ODORIZZI,6,3
522,TEX201605130,2016-05-12 12:16,2016-05-12 8:16,Toronto Blue Jays,Texas Rangers,0,r dickey,M PEREZ,5,0
523,MIL201605130,2016-05-12 17:44,2016-05-12 13:44,San Diego Padres,Milwaukee Brewers,0,c friedrich,J GUERRA,0,1
524,KCA201605130,2016-05-12 12:16,2016-05-12 8:16,Atlanta Braves,Kansas City Royals,0,j teheran,E VOLQUEZ,1,5
525,COL201605130,2016-05-12 12:16,2016-05-12 8:16,New York Mets,Colorado Rockies,0,m harvey,J GRAY,2,5
526,ARI201605130,2016-05-12 12:16,2016-05-12 8:16,San Francisco Giants,Arizona Diamondbacks,0,j samardzija,S MILLER,3,1
527,SEA201605130,2016-05-12 12:16,2016-05-12 8:16,Los Angeles Angels of Anaheim,Seattle Mariners,0,n tropeano,N KARNS,7,6
528,LAN201605130,2016-05-12 12:16,2016-05-12 8:16,St. Louis Cardinals,Los Angeles Dodgers,0,m wacha,R STRIPLING,4,8
529,NYA201605140,2016-05-13 11:48,2016-05-13 7:48,Chicago White Sox,New York Yankees,0,j quintana,I NOVA,1,2
530,BOS201605140,2016-05-13 11:49,2016-05-13 7:49,Houston Astros,Boston Red Sox,0,c mchugh,C BUCHHOLZ,5,6
531,WAS201605141,2016-05-14 5:01,2016-05-14 1:01,Miami Marlins,Washington Nationals,1,j nicolino,S STRASBURG,4,6
532,CHN201605140,2016-05-13 11:45,2016-05-13 7:45,Pittsburgh Pirates,Chicago Cubs,0,j locke,J ARRIETA,2,8
533,CLE201605140,2016-05-13 11:50,2016-05-13 7:50,Minnesota Twins,Cleveland Indians,0,e santana,C KLUBER,6,3
534,TBA201605140,2016-05-13 11:50,2016-05-13 7:50,Oakland Athletics,Tampa Bay Rays,0,k graveman,M ANDRIESE,0,6
535,PHI201605140,2016-05-13 11:45,2016-05-13 7:45,Cincinnati Reds,Philadelphia Phillies,0,t adleman,A NOLA,3,4
536,BAL201605140,2016-05-13 11:51,2016-05-13 7:51,Detroit Tigers,Baltimore Orioles,0,a sanchez,M WRIGHT,3,9
537,WAS201605142,2016-05-13 18:25,2016-05-13 14:25,Miami Marlins,Washington Nationals,2,k flores,T ROARK,7,1
538,MIL201605140,2016-05-13 18:25,2016-05-13 14:25,San Diego Padres,Milwaukee Brewers,0,l perdomo,W PERALTA,8,7
539,KCA201605140,2016-05-13 11:52,2016-05-13 7:52,Atlanta Braves,Kansas City Royals,0,m foltynewicz,D GEE,5,0
540,TEX201605140,2016-05-13 11:51,2016-05-13 7:51,Toronto Blue Jays,Texas Rangers,0,m estrada,C LEWIS,5,6
541,COL201605140,2016-05-13 11:47,2016-05-13 7:47,New York Mets,Colorado Rockies,0,l verrett,E BUTLER,4,7
542,ARI201605140,2016-05-13 11:47,2016-05-13 7:47,San Francisco Giants,Arizona Diamondbacks,0,j peavy,P CORBIN,5,3
543,SEA201605140,2016-05-13 11:51,2016-05-13 7:51,Los Angeles Angels of Anaheim,Seattle Mariners,0,j chacin,H IWAKUMA,9,7
544,LAN201605140,2016-05-13 11:48,2016-05-13 7:48,St. Louis Cardinals,Los Angeles Dodgers,0,c martinez,S KAZMIR,3,5
545,NYA201605150,2016-05-14 13:21,2016-05-14 9:21,Chicago White Sox,New York Yankees,0,m gonzalez,M TANAKA,5,7
546,CLE201605150,2016-05-14 13:22,2016-05-14 9:22,Minnesota Twins,Cleveland Indians,0,t duffey,T BAUER,5,1
547,TBA201605150,2016-05-14 13:22,2016-05-14 9:22,Oakland Athletics,Tampa Bay Rays,0,s gray,M MOORE,7,6
548,PHI201605150,2016-05-14 13:19,2016-05-14 9:19,Cincinnati Reds,Philadelphia Phillies,0,d straily,A MORGAN,9,4
549,BAL201605150,2016-05-14 13:22,2016-05-14 9:22,Detroit Tigers,Baltimore Orioles,0,m fulmer,K GAUSMAN,6,5
550,BOS201605150,2016-05-14 13:23,2016-05-14 9:23,Houston Astros,Boston Red Sox,0,c devenski,S O'SULLIVAN,9,10
551,WAS201605150,2016-05-14 13:19,2016-05-14 9:19,Miami Marlins,Washington Nationals,0,j fernandez,J ROSS,5,1
552,MIL201605150,2016-05-14 13:19,2016-05-14 9:19,San Diego Padres,Milwaukee Brewers,0,c vargas,Z DAVIES,2,3
553,KCA201605150,2016-05-14 13:23,2016-05-14 9:23,Atlanta Braves,Kansas City Royals,0,m wisler,D DUFFY,2,4
